"ref_date","user_source","share_scene","share_count","share_user"
"2016-09-15",0,1,20,13
"2016-09-15",0,2,10,9
"2016-09-16",0,1,41,28
"2016-09-16",0,2,28,23
"2016-09-16",0,5,2,2
"2016-09-17",0,1,61,35
"2016-09-17",0,2,35,29
"2016-09-17",0,5,3,3
"2016-09-18",0,1,66,44
"2016-09-18",0,2,55,46
"2016-09-18",0,5,1,1
"2016-09-19",0,1,31,19
"2016-09-19",0,2,38,25
"2016-09-19",0,5,2,2
"2016-09-20",0,1,86,54
"2016-09-20",0,2,49,37
"2016-09-20",0,5,2,2
"2016-09-21",0,1,75,55
"2016-09-21",0,2,54,45
"2016-09-21",0,5,1,1
"2016-09-22",0,1,41,30
"2016-09-22",0,2,40,33
"2016-09-22",0,5,1,1
"2016-09-23",0,1,33,24
"2016-09-23",0,2,45,34
"2016-09-24",0,1,35,24
"2016-09-24",0,2,28,24
"2016-09-25",0,1,24,17
"2016-09-25",0,2,28,22
"2016-09-26",0,1,54,29
"2016-09-26",0,2,32,28
"2016-09-26",0,5,1,1
"2016-09-27",0,1,40,29
"2016-09-27",0,2,57,40
"2016-09-28",0,1,67,29
"2016-09-28",0,2,35,24
"2016-09-28",0,5,3,3
"2016-09-29",0,1,54,39
"2016-09-29",0,2,41,34
"2016-09-29",0,5,3,2
"2016-09-30",0,1,48,35
"2016-09-30",0,2,41,25
"2016-09-30",0,5,1,1
"2016-10-01",0,1,15,14
"2016-10-01",0,2,23,20
"2016-10-01",0,5,1,1
"2016-10-02",0,1,7,6
"2016-10-02",0,2,8,8
"2016-10-03",0,1,39,29
"2016-10-03",0,2,22,17
"2016-10-03",0,5,3,3
"2016-10-04",0,1,31,22
"2016-10-04",0,2,29,17
"2016-10-04",0,5,2,2
"2016-10-05",0,1,20,16
"2016-10-05",0,2,11,8
"2016-10-05",0,5,6,4
"2016-10-06",0,1,27,20
"2016-10-06",0,2,24,20
"2016-10-06",0,5,5,3
"2016-10-07",0,1,32,21
"2016-10-07",0,2,25,21
"2016-10-07",0,5,4,2
"2016-10-08",0,1,61,45
"2016-10-08",0,2,78,42
"2016-10-08",0,5,1,1
"2016-10-09",0,1,28,24
"2016-10-09",0,2,54,36
"2016-10-09",0,5,2,2
"2016-10-10",0,1,54,30
"2016-10-10",0,2,67,35
"2016-10-11",0,1,59,40
"2016-10-11",0,2,58,40
"2016-10-11",0,5,9,5
"2016-10-12",0,1,61,43
"2016-10-12",0,2,98,59
"2016-10-12",0,5,3,3
"2016-10-13",0,1,43,35
"2016-10-13",0,2,61,39
"2016-10-13",0,5,7,5
"2016-10-14",0,1,29,23
"2016-10-14",0,2,46,28
"2016-10-14",0,5,4,4
"2016-10-15",0,1,40,27
"2016-10-15",0,2,44,38
"2016-10-15",0,5,12,5
"2016-10-16",0,1,97,56
"2016-10-16",0,2,59,48
"2016-10-16",0,5,3,3
"2016-10-17",0,1,81,63
"2016-10-17",0,2,71,47
"2016-10-17",0,5,3,3
"2016-10-18",0,1,45,36
"2016-10-18",0,2,81,51
"2016-10-18",0,5,4,2
"2016-10-19",0,1,61,46
"2016-10-19",0,2,62,42
"2016-10-19",0,5,5,4
"2016-10-20",0,1,112,85
"2016-10-20",0,2,113,68
"2016-10-20",0,5,8,4
"2016-10-21",0,1,73,51
"2016-10-21",0,2,77,44
"2016-10-21",0,5,6,5
"2016-10-22",0,1,24,20
"2016-10-22",0,2,41,28
"2016-10-22",0,5,10,5
"2016-10-23",0,1,21,14
"2016-10-23",0,2,25,21
"2016-10-24",0,1,91,59
"2016-10-24",0,2,76,35
"2016-10-24",0,5,7,4
"2016-10-25",0,1,71,47
"2016-10-25",0,2,76,46
"2016-10-25",0,5,4,3
"2016-10-26",0,1,57,38
"2016-10-26",0,2,83,53
"2016-10-26",0,5,4,3
"2016-10-27",0,1,61,42
"2016-10-27",0,2,85,53
"2016-10-27",0,5,9,5
"2016-10-28",0,1,63,41
"2016-10-28",0,2,55,32
"2016-10-28",0,5,3,3
"2016-10-29",0,1,22,18
"2016-10-29",0,2,28,27
"2016-10-30",0,1,34,24
"2016-10-30",0,2,36,19
"2016-10-30",0,5,9,5
"2016-10-31",0,1,55,40
"2016-10-31",0,2,86,45
"2016-10-31",0,5,8,4
"2016-11-01",0,1,93,68
"2016-11-01",0,2,84,52
"2016-11-01",0,5,8,4
"2016-11-02",0,1,142,117
"2016-11-02",0,2,118,80
"2016-11-02",0,5,10,9
"2016-11-03",0,1,99,79
"2016-11-03",0,2,91,65
"2016-11-03",0,5,13,8
"2016-11-04",0,1,57,49
"2016-11-04",0,2,73,43
"2016-11-04",0,5,10,6
"2016-11-05",0,1,32,24
"2016-11-05",0,2,27,24
"2016-11-05",0,5,5,4
"2016-11-06",0,1,49,25
"2016-11-06",0,2,37,23
"2016-11-06",0,5,4,3
"2016-11-07",0,1,31,25
"2016-11-07",0,2,58,41
"2016-11-07",0,5,4,3
"2016-11-08",0,1,81,67
"2016-11-08",0,2,92,57
"2016-11-08",0,5,5,4
"2016-11-09",0,1,56,49
"2016-11-09",0,2,68,44
"2016-11-09",0,5,5,5
"2016-11-10",0,1,40,30
"2016-11-10",0,2,56,29
"2016-11-10",0,5,7,3
"2016-11-11",0,1,66,17
"2016-11-11",0,2,55,30
"2016-11-11",0,5,4,3
"2016-11-12",0,1,46,35
"2016-11-12",0,2,32,29
"2016-11-12",0,5,7,3
"2016-11-13",0,1,23,21
"2016-11-13",0,2,22,18
"2016-11-13",0,5,6,3
"2016-11-14",0,1,49,34
"2016-11-14",0,2,55,39
"2016-11-14",0,5,4,3
"2016-11-15",0,1,34,27
"2016-11-15",0,2,46,32
"2016-11-15",0,5,4,2
"2016-11-16",0,1,34,25
"2016-11-16",0,2,44,28
"2016-11-16",0,5,5,3
"2016-11-17",0,1,49,38
"2016-11-17",0,2,55,36
"2016-11-17",0,5,12,8
"2016-11-18",0,1,50,40
