ref_date,ref_hour,user_source,share_scene,share_count,share_user
2016/6/10,2300,0,1,1,1
2016/6/10,2300,0,2,1,1
2016/6/11,800,0,1,1,1
2016/6/11,900,0,1,1,1
2016/6/11,900,0,2,1,1
2016/6/11,1000,0,1,1,1
2016/6/11,1300,0,1,1,1
2016/6/11,1300,0,2,1,1
2016/6/11,1800,0,2,1,1
2016/6/11,1900,0,2,1,1
2016/6/11,2000,0,1,1,1
2016/6/11,2200,0,2,3,3
2016/6/11,2300,0,2,2,2
2016/6/12,600,0,2,1,1
2016/6/12,900,0,1,1,1
2016/6/12,1000,0,2,4,2
2016/6/12,1300,0,1,2,1
2016/6/12,1300,0,2,2,1
2016/6/12,1700,0,2,1,1
2016/6/12,1800,0,1,1,1
2016/6/12,1800,0,2,2,2
2016/6/12,1900,0,1,3,2
2016/6/12,1900,0,2,11,5
2016/6/12,2000,0,1,3,1
2016/6/12,2000,0,2,7,2
2016/6/12,2100,0,2,6,2
2016/6/12,2200,0,1,1,1
2016/6/12,2200,0,2,3,3
2016/6/12,2300,0,1,1,1
2016/6/13,600,0,1,2,1
2016/6/13,700,0,2,1,1
2016/6/13,1000,0,1,3,1
2016/6/13,1000,0,2,1,1
2016/6/13,1600,0,1,2,1
2016/6/13,1700,0,2,1,1
2016/6/13,1800,0,5,1,1
2016/6/13,2000,0,1,1,1
2016/6/13,2000,0,2,1,1
2016/6/13,2000,0,5,1,1
2016/6/13,2100,0,1,4,3
2016/6/13,2100,0,2,6,2
2016/6/13,2200,0,1,1,1
2016/6/13,2200,0,2,1,1
2016/6/13,2300,0,1,3,2
2016/6/14,600,0,1,1,1
2016/6/14,800,0,1,1,1
2016/6/14,900,0,1,1,1
2016/6/14,1700,0,2,1,1
2016/6/14,1800,0,1,12,11
2016/6/14,1800,0,2,12,6
2016/6/14,1900,0,1,12,10
2016/6/14,1900,0,2,2,2
2016/6/14,2000,0,1,5,5
2016/6/14,2000,0,2,6,5
2016/6/14,2000,0,5,2,2
2016/6/14,2100,0,1,6,6
2016/6/14,2100,0,2,8,7
2016/6/14,2200,0,1,4,4
2016/6/14,2200,0,2,4,4
2016/6/14,2300,0,1,6,4
2016/6/14,2300,0,2,3,3
2016/6/14,2300,0,5,1,1
2016/6/15,0,0,1,1,1
2016/6/15,300,0,2,1,1
2016/6/15,600,0,1,2,2
2016/6/15,600,0,2,2,2
2016/6/15,700,0,1,11,3
2016/6/15,700,0,2,3,3
2016/6/15,800,0,1,10,4
2016/6/15,800,0,2,4,4
