"ref_date","user_source","cumulate_user"
"2016-11-15",0,6547
"2016-11-16",0,6567
"2016-11-17",0,6599
"2016-11-18",0,6631
"2016-11-19",0,6645
"2016-11-20",0,6650
"2016-11-21",0,6710
"2016-11-22",0,6749
"2016-11-23",0,6782
"2016-11-24",0,6803
"2016-11-25",0,6848
"2016-11-26",0,6870
"2016-11-27",0,6871
"2016-11-28",0,6968
"2016-11-29",0,7260
"2016-11-30",0,7310
"2016-12-01",0,7321
"2016-12-02",0,7328
"2016-12-03",0,7332
"2016-12-04",0,7327
"2016-12-05",0,7359
"2016-12-06",0,7397
"2016-12-07",0,7464
"2016-12-08",0,7511
"2016-12-09",0,7561
"2016-12-10",0,7569
"2016-12-11",0,7578
"2016-12-12",0,7654
"2016-12-13",0,7703
"2016-12-14",0,7748
"2016-12-15",0,7785
"2016-12-16",0,7865
"2016-12-17",0,7897
"2016-12-18",0,7915
"2016-12-19",0,7959
"2016-12-20",0,8014
"2016-12-21",0,8073
"2016-12-22",0,8132
"2016-12-23",0,8271
"2016-12-24",0,8306
"2016-12-25",0,8343
"2016-12-26",0,8491
"2016-12-27",0,8559
"2016-12-28",0,8590
"2016-12-29",0,8616
"2016-12-30",0,8633
"2016-12-31",0,8628
"2017-01-01",0,8620
"2017-01-02",0,8611
"2017-01-03",0,8629
"2017-01-04",0,8629
"2017-01-05",0,8639
"2017-01-06",0,8638
"2017-01-07",0,8636
"2017-01-08",0,8640
"2017-01-09",0,8634
"2017-01-10",0,8641
"2017-01-11",0,8660
"2017-01-12",0,8686
"2017-01-13",0,8693
"2017-01-14",0,8701
"2017-01-15",0,8696
"2017-01-16",0,8697
"2017-01-17",0,8704
"2017-01-18",0,8711
"2017-01-19",0,8710
"2017-01-20",0,8717
"2017-01-21",0,8715
"2017-01-22",0,8712
"2017-01-23",0,8711
"2017-01-24",0,8718
"2017-01-25",0,8720
"2017-01-26",0,8715
"2017-01-27",0,8713
"2017-01-28",0,8709
"2017-01-29",0,8711
"2017-01-30",0,8709
"2017-01-31",0,8709
"2017-02-01",0,8714
"2017-02-02",0,8714
"2017-02-03",0,8719
"2017-02-04",0,8720
"2017-02-05",0,8724
"2017-02-06",0,8730
"2017-02-07",0,8737
"2017-02-08",0,8740
"2017-02-09",0,8762
"2017-02-10",0,8770
"2017-02-11",0,8782
"2017-02-12",0,8781
"2017-02-13",0,8793
"2017-02-14",0,8803
"2017-02-15",0,8811
"2017-02-16",0,8817
"2017-02-17",0,8835
"2017-02-18",0,8842
"2017-02-19",0,8840
"2017-02-20",0,8840
"2017-02-21",0,8857
"2017-02-22",0,8882
"2017-02-23",0,8899
"2017-02-24",0,8909
"2017-02-25",0,8916
"2017-02-26",0,8916
"2017-02-27",0,8928
"2017-02-28",0,8944
"2017-03-01",0,8965
"2017-03-02",0,8984
"2017-03-03",0,8989
"2017-03-04",0,8981
"2017-03-05",0,8987
"2017-03-06",0,8998
"2017-03-07",0,9013
"2017-03-08",0,9037
"2017-03-09",0,9060
"2017-03-10",0,9062
"2017-03-11",0,9071
"2017-03-12",0,9080
"2017-03-13",0,9094
"2017-03-14",0,9109
"2017-03-15",0,9121
"2017-03-16",0,9146
"2017-03-17",0,9172
"2017-03-18",0,9182
"2017-03-19",0,9188
"2017-03-20",0,9186
"2017-03-21",0,9191
"2017-03-22",0,9223
"2017-03-23",0,9241
"2017-03-24",0,9241
"2017-03-25",0,9249
"2017-03-26",0,9254
"2017-03-27",0,9266
"2017-03-28",0,9277
"2017-03-29",0,9314
"2017-03-30",0,9339
"2017-03-31",0,9344
"2017-04-01",0,9353
"2017-04-02",0,9352
"2017-04-03",0,9360
"2017-04-04",0,9362
"2017-04-05",0,9384
"2017-04-06",0,9404
"2017-04-07",0,9409
"2017-04-08",0,9415
"2017-04-09",0,9436
"2017-04-10",0,9456
"2017-04-11",0,9466
"2017-04-12",0,9475
"2017-04-13",0,9495
"2017-04-14",0,9503
"2017-04-15",0,9515
"2017-04-16",0,9526
"2017-04-17",0,9530
"2017-04-18",0,9531
"2017-04-19",0,9556
"2017-04-20",0,9564
"2017-04-21",0,9571
"2017-04-22",0,9572
"2017-04-23",0,9573
"2017-04-24",0,9606
"2017-04-25",0,9628
"2017-04-26",0,9631
"2017-04-27",0,9640
"2017-04-28",0,9644
"2017-04-29",0,9649
"2017-04-30",0,9650
"2017-05-01",0,9654
"2017-05-02",0,9661
"2017-05-03",0,9675
"2017-05-04",0,9677
"2017-05-05",0,9695
"2017-05-06",0,9698
"2017-05-07",0,9706
"2017-05-08",0,9728
"2017-05-09",0,9740
"2017-05-10",0,9746
"2017-05-11",0,9782
"2017-05-12",0,9799
"2017-05-13",0,9809
"2017-05-14",0,9815
"2017-05-15",0,9824
"2017-05-16",0,9826
"2017-05-17",0,9846
"2017-05-18",0,9858
"2017-05-19",0,9889
"2017-05-20",0,9905
"2017-05-21",0,9910
"2017-05-22",0,9914
"2017-05-23",0,9922
"2017-05-24",0,9933
"2017-05-25",0,9951
"2017-05-26",0,9952
"2017-05-27",0,9964
"2017-05-28",0,9977
"2017-05-29",0,9986
"2017-05-30",0,9987
"2017-05-31",0,10005
"2017-06-01",0,10020
"2017-06-02",0,10028
"2017-06-03",0,10039
"2017-06-04",0,10048
"2017-06-05",0,10073
"2017-06-06",0,10084
"2017-06-07",0,10092
"2017-06-08",0,10105
"2017-06-09",0,10118
"2017-06-10",0,10119
"2017-06-11",0,10131
"2017-06-12",0,10141
"2017-06-13",0,10147
"2017-06-14",0,10154
"2017-06-15",0,10159
"2017-06-16",0,10161
"2017-06-17",0,10167
"2017-06-18",0,10168
"2017-06-19",0,10174
"2017-06-20",0,10202
"2017-06-21",0,10229
"2017-06-22",0,10253
"2017-06-23",0,10279
"2017-06-24",0,10295
"2017-06-25",0,10292
