"ref_date","user_source","int_page_read_user","int_page_read_count","ori_page_read_user","ori_page_read_count","share_user","share_count","add_to_fav_user","add_to_fav_count"
"2018-03-31",6,27,27,0,0,0,0,0,0
"2018-03-31",7,15,15,0,0,0,0,0,0
"2018-04-01",0,588,926,0,0,44,56,12,12
"2018-04-01",1,61,77,0,0,0,0,0,0
"2018-04-01",2,243,255,0,0,0,0,0,0
"2018-04-01",5,17,462,0,0,0,0,0,0
"2018-04-01",6,29,30,0,0,0,0,0,0
"2018-04-01",7,18,18,0,0,0,0,0,0
"2018-04-02",0,562,929,0,0,33,47,10,12
"2018-04-02",1,71,90,0,0,0,0,0,0
"2018-04-02",2,98,114,0,0,0,0,0,0
"2018-04-02",5,19,618,0,0,0,0,0,0
"2018-04-02",6,36,41,0,0,0,0,0,0
"2018-04-02",7,22,24,0,0,0,0,0,0
"2018-04-03",0,721,1146,0,0,63,75,10,10
"2018-04-03",1,65,79,0,0,0,0,0,0
"2018-04-03",2,407,460,0,0,0,0,0,0
"2018-04-03",5,27,627,0,0,0,0,0,0
"2018-04-03",6,53,55,0,0,0,0,0,0
"2018-04-03",7,22,24,0,0,0,0,0,0
"2018-04-04",0,733,1185,0,0,48,62,3,3
"2018-04-04",1,50,65,0,0,0,0,0,0
"2018-04-04",2,225,267,0,0,0,0,0,0
"2018-04-04",5,34,539,0,0,0,0,0,0
"2018-04-04",6,165,179,0,0,0,0,0,0
"2018-04-04",7,2,2,0,0,0,0,0,0
"2018-04-05",0,590,906,0,0,89,117,14,15
"2018-04-05",1,155,169,0,0,0,0,0,0
"2018-04-05",2,602,644,0,0,0,0,0,0
"2018-04-05",5,21,1487,0,0,0,0,0,0
"2018-04-05",6,1538,1574,0,0,0,0,0,0
"2018-04-05",7,12,12,0,0,0,0,0,0
"2018-04-06",0,544,860,0,0,134,169,30,32
"2018-04-06",1,327,369,0,0,0,0,0,0
"2018-04-06",2,1002,1092,0,0,0,0,0,0
"2018-04-06",5,23,1448,0,0,0,0,0,0
"2018-04-06",6,677,695,0,0,0,0,0,0
"2018-04-06",7,10,12,0,0,0,0,0,0
"2018-04-07",0,555,868,0,0,96,112,41,46
